Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK,Adj Close
2020-05-08,173.8,173.8,173.8,173.66,40.0,0.0,0.0,171.78,1.0944230993130688,-21.845184518451845,-341.6100000000001,1215.62,1557.23,True,
2020-05-11,174.72,174.72,173.52,173.16,182.0,0.0,0.0,173.66,-0.28791892203156033,-22.070207020702068,-345.1100000000001,1212.12,1557.23,True,
2020-05-12,173.0,173.0,173.0,172.3,12.0,0.0,0.0,173.16,-0.4966504966504859,-22.45724572457245,-351.1299999999999,1206.1000000000001,1557.23,True,
2020-05-13,170.26,170.26,169.56,169.5,19.0,0.0,0.0,172.3,-1.625072547881612,-23.717371737173714,-370.73,1186.5,1557.23,True,
2020-05-14,168.34,168.34,166.16,166.52,270.0,0.0,0.0,169.5,-1.75811209439527,-25.05850585058505,-391.5899999999999,1165.64,1557.23,True,
2020-05-15,168.7,168.7,167.1,167.52,399.0,0.0,0.0,166.52,0.6005284650492326,-24.6084608460846,-384.5899999999999,1172.64,1557.23,True,
2020-05-18,170.62,170.82,170.62,173.06,124.0,0.0,0.0,167.52,3.3070678127984587,-22.11521152115211,-345.80999999999995,1211.42,1557.23,True,
2020-05-19,172.5,172.62,171.7,172.34,421.0,0.0,0.0,173.06,-0.41604067953311397,-22.439243924392432,-350.8499999999999,1206.38,1557.23,True,
2020-05-20,171.3,172.48,171.3,173.22,635.0,0.0,0.0,172.34,0.5106185447371514,-22.04320432043204,-344.69000000000005,1212.54,1557.23,True,
2020-05-21,172.64,172.64,172.64,172.0,28.0,0.0,0.0,173.22,-0.7043066620482596,-22.59225922592259,-353.23,1204.0,1557.23,True,
2020-05-22,172.0,172.0,172.0,172.0,0.0,0.0,0.0,172.0,0.0,-22.59225922592259,-353.23,1204.0,1557.23,True,
2020-05-25,172.0,172.0,172.0,172.0,0.0,0.0,0.0,172.0,0.0,-22.59225922592259,-353.23,1204.0,1557.23,True,
2020-05-26,178.76,179.18,178.76,179.36,297.0,0.0,0.0,172.0,4.279069767441879,-19.27992799279927,-301.71000000000004,1255.52,1557.23,True,
2020-05-27,180.22,181.28,179.18,179.9,10441.0,0.0,0.0,179.36,0.30107047279215315,-19.03690369036903,-297.93000000000006,1259.3,1557.23,True,
2020-05-28,183.02,183.28,181.86,183.3,940.0,0.0,0.0,179.9,1.889938854919393,-17.506750675067497,-274.1299999999999,1283.1000000000001,1557.23,True,
2020-05-29,182.26,182.26,181.68,181.36,100.0,0.0,0.0,183.3,-1.058374249863614,-18.37983798379837,-287.71000000000004,1269.52,1557.23,True,
2020-06-01,184.6,185.08,184.26,185.08,2161.0,0.0,0.0,181.36,2.0511689457432647,-16.705670567056696,-261.66999999999985,1295.5600000000002,1557.23,True,
2020-06-02,187.44,187.9,187.44,187.4,100.0,0.0,0.0,185.08,1.2535119948130502,-15.661566156615656,-245.43000000000006,1311.8,1557.23,True,
2020-06-03,190.24,191.48,190.24,191.58,646.0,0.0,0.0,187.4,2.2305229455709785,-13.78037803780377,-216.16999999999985,1341.0600000000002,1557.23,True,
