Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2020-05-05,49.76,50.48,49.7,50.48,81572,0,0,48.83,3.379070243702631,18.497652582159613,302.8499999999999,1817.28,1514.43,True
2020-05-06,50.5,50.82,50.1,50.26,43846,0,0,50.48,-0.4358161648177483,17.981220657276985,294.92999999999984,1809.36,1514.43,True
2020-05-07,50.38,50.87,50.38,50.84,51295,0,0,50.26,1.1539992041385005,19.34272300469484,315.8100000000002,1830.2400000000002,1514.43,True
2020-05-08,51.11,51.23,50.9,51.13,116082,0,0,50.84,0.5704169944925175,20.02347417840376,326.25,1840.68,1514.43,True
2020-05-11,51.56,51.68,50.84,51.3,85556,0,0,51.13,0.33248582045763975,20.422535211267594,332.3699999999999,1846.8,1514.43,True
2020-05-12,51.09,51.47,51.05,51.2,51402,0,0,51.3,-0.19493177387913674,20.187793427230048,328.77,1843.2,1514.43,True
2020-05-13,50.43,50.6,49.94,49.99,138230,0,0,51.2,-2.3632812500000044,17.347417840375588,285.21000000000004,1799.64,1514.43,True
2020-05-14,49.59,49.75,48.72,49.35,115357,0,0,49.99,-1.2802560512102379,15.84507042253521,262.1700000000001,1776.6000000000001,1514.43,True
2020-05-15,50.29,50.32,49.49,49.73,38770,0,0,49.35,0.770010131712251,16.73708920187792,275.8499999999999,1790.28,1514.43,True
2020-05-18,50.67,51.55,50.65,51.55,89262,0,0,49.73,3.65976271868087,21.009389671361493,341.3699999999999,1855.8,1514.43,True
2020-05-19,51.58,51.59,50.87,51.31,69668,0,0,51.55,-0.4655674102812757,20.446009389671364,332.73,1847.16,1514.43,True
2020-05-20,51.02,51.56,50.9,51.53,96137,0,0,51.31,0.42876632235431256,20.96244131455399,340.64999999999986,1855.08,1514.43,True
2020-05-21,51.05,51.44,50.97,51.03,46895,0,0,51.53,-0.9703085581214799,19.788732394366196,322.64999999999986,1837.08,1514.43,True
2020-05-22,50.67,51.28,50.5,51.16,97291,0,0,51.03,0.2547521066039504,20.09389671361501,327.3299999999997,1841.7599999999998,1514.43,True
2020-05-25,51.7,52.16,51.62,52.16,50491,0,0,51.16,1.9546520719311955,22.441314553990598,363.3299999999997,1877.7599999999998,1514.43,True
2020-05-26,52.47,52.49,52.1,52.18,66200,0,0,52.16,0.03834355828220559,22.488262910798117,364.04999999999995,1878.48,1514.43,True
